date,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18
20210614,5.59,5.42,5.79,5.59,5.59,5.59,5.42,6.02,5.79,5.79,5.59,4.64,5.42,6.02,5.79,5.59,5.59,5.42,5.42
20210615,5.84,6.19,6.03,5.84,5.84,5.84,6.19,6.22,6.03,6.03,5.84,5.58,6.19,6.22,6.03,5.84,5.84,6.19,6.19
20210616,3.0,5.11,3.26,3.0,3.0,3.0,5.11,4.35,3.26,3.26,3.0,5.05,5.11,4.35,3.26,3.0,3.0,5.11,5.11
20210617,4.54,5.45,5.43,4.54,4.54,4.54,5.45,5.73,5.43,5.43,4.54,3.51,5.45,5.73,5.43,4.54,4.54,5.45,5.45
20210618,4.88,5.34,3.37,4.88,4.88,4.88,5.34,3.28,3.37,3.37,4.88,5.92,5.34,3.28,3.37,4.88,4.88,5.34,5.34
20210619,4.71,4.97,3.29,4.71,4.71,4.71,4.97,3.9,3.29,3.29,4.71,5.33,4.97,3.9,3.29,4.71,4.71,4.97,4.97
20210620,6.23,6.57,6.3,6.23,6.23,6.23,6.57,6.66,6.3,6.3,6.23,5.49,6.57,6.66,6.3,6.23,6.23,6.57,6.57
20210621,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
20210622,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
20210623,4.23,5.2,3.19,4.23,4.23,4.23,5.2,4.13,3.19,3.19,4.23,4.89,5.2,4.13,3.19,4.23,4.23,5.2,5.2
20210624,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
20210625,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
20210626,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
20210627,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
20210628,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
