year,month,date,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18
2021,5,1,101.2,101.2,101.2,101.2,101.2,108.09,101.2,101.2,101.2,107.73,114.79,108.09,108.09,101.2,101.2,107.73,108.09,108.09,101.2
2021,5,2,68.43,68.43,68.43,68.43,68.43,81.78,68.43,68.43,68.43,67.56,72.66,81.78,81.78,68.43,68.43,67.56,81.78,81.78,68.43
2021,5,3,86.68,86.68,86.68,86.68,86.68,109.24,86.68,86.68,86.68,75.65,99.77,109.24,109.24,86.68,86.68,75.65,109.24,109.24,86.68
2021,5,4,128.09,128.09,128.09,128.09,128.09,131.68,128.09,128.09,128.09,129.19,131.6,131.68,131.68,128.09,128.09,129.19,131.68,131.68,128.09
2021,5,5,130.65,130.65,130.65,130.65,130.65,128.58,130.65,130.65,130.65,136.87,133.86,128.58,128.58,130.65,130.65,136.87,128.58,128.58,130.65
2021,5,6,109.82,109.82,109.82,109.82,109.82,119.14,109.82,109.82,109.82,123.66,130.18,119.14,119.14,109.82,109.82,123.66,119.14,119.14,109.82
2021,5,7,113.44,113.44,113.44,113.44,113.44,127.4,113.44,113.44,113.44,113.13,127.84,127.4,127.4,113.44,113.44,113.13,127.4,127.4,113.44
2021,5,8,118.52,118.52,118.52,118.52,118.52,126.41,118.52,118.52,118.52,109.34,110.66,126.41,126.41,118.52,118.52,109.34,126.41,126.41,118.52
2021,5,9,99.12,99.12,99.12,99.12,99.12,105.38,99.12,99.12,99.12,93.04,96.42,105.38,105.38,99.12,99.12,93.04,105.38,105.38,99.12
2021,5,10,117.34,117.34,117.34,117.34,117.34,120.03,117.34,117.34,117.34,107.47,120.24,120.03,120.03,117.34,117.34,107.47,120.03,120.03,117.34
2021,5,11,137.49,137.49,137.49,137.49,137.49,122.53,137.49,137.49,137.49,137.23,132.72,122.53,122.53,137.49,137.49,137.23,122.53,122.53,137.49
2021,5,12,116.39,116.39,116.39,116.39,116.39,111.14,116.39,116.39,116.39,111.34,114.77,111.14,111.14,116.39,116.39,111.34,111.14,111.14,116.39
2021,5,13,117.06,117.06,117.06,117.06,117.06,137.4,117.06,117.06,117.06,105.18,128.77,137.4,137.4,117.06,117.06,105.18,137.4,137.4,117.06
2021,5,14,132.18,132.18,132.18,132.18,132.18,125.49,132.18,132.18,132.18,128.61,124.0,125.49,125.49,132.18,132.18,128.61,125.49,125.49,132.18
2021,5,15,130.22,130.22,130.22,130.22,130.22,142.99,130.22,130.22,130.22,137.58,135.91,142.99,142.99,130.22,130.22,137.58,142.99,142.99,130.22
2021,5,16,127.89,127.89,127.89,127.89,127.89,129.9,127.89,127.89,127.89,116.72,111.2,129.9,129.9,127.89,127.89,116.72,129.9,129.9,127.89
2021,5,17,37.66,37.66,37.66,37.66,37.66,49.09,37.66,37.66,37.66,33.76,53.16,49.09,49.09,37.66,37.66,33.76,49.09,49.09,37.66
2021,5,18,62.62,62.62,62.62,62.62,62.62,75.2,62.62,62.62,62.62,85.46,86.2,75.2,75.2,62.62,62.62,85.46,75.2,75.2,62.62
2021,5,19,60.74,60.74,60.74,60.74,60.74,47.76,60.74,60.74,60.74,88.76,86.93,47.76,47.76,60.74,60.74,88.76,47.76,47.76,60.74
2021,5,20,61.79,61.79,61.79,61.79,61.79,96.98,61.79,61.79,61.79,69.45,94.32,96.98,96.98,61.79,61.79,69.45,96.98,96.98,61.79
2021,5,21,120.75,120.75,120.75,120.75,120.75,129.23,120.75,120.75,120.75,107.02,103.57,129.23,129.23,120.75,120.75,107.02,129.23,129.23,120.75
2021,5,22,143.94,143.94,143.94,143.94,143.94,144.92,143.94,143.94,143.94,141.35,142.8,144.92,144.92,143.94,143.94,141.35,144.92,144.92,143.94
2021,5,23,136.85,136.85,136.85,136.85,136.85,135.59,136.85,136.85,136.85,136.44,138.0,135.59,135.59,136.85,136.85,136.44,135.59,135.59,136.85
2021,5,24,146.83,146.83,146.83,146.83,146.83,144.61,146.83,146.83,146.83,142.85,150.8,144.61,144.61,146.83,146.83,142.85,144.61,144.61,146.83
2021,5,25,144.89,144.89,144.89,144.89,144.89,147.8,144.89,144.89,144.89,143.62,146.77,147.8,147.8,144.89,144.89,143.62,147.8,147.8,144.89
2021,5,26,142.85,142.85,142.85,142.85,142.85,144.02,142.85,142.85,142.85,138.89,147.47,144.02,144.02,142.85,142.85,138.89,144.02,144.02,142.85
2021,5,27,126.2,126.2,126.2,126.2,126.2,144.84,126.2,126.2,126.2,131.79,142.47,144.84,144.84,126.2,126.2,131.79,144.84,144.84,126.2
2021,5,28,132.39,132.39,132.39,132.39,132.39,141.6,132.39,132.39,132.39,132.38,145.66,141.6,141.6,132.39,132.39,132.38,141.6,141.6,132.39
2021,5,29,136.91,136.91,136.91,136.91,136.91,139.78,136.91,136.91,136.91,136.58,139.5,139.78,139.78,136.91,136.91,136.58,139.78,139.78,136.91
2021,5,30,126.95,126.95,126.95,126.95,126.95,138.84,126.95,126.95,126.95,130.69,132.52,138.84,138.84,126.95,126.95,130.69,138.84,138.84,126.95
