year,month,date,value
2000,6,22,116.7
2000,6,23,142.7
2000,6,24,131.3
2000,6,25,127.3
2000,6,26,107.2
2000,6,27,73.8
2000,6,28,116.5
2000,6,29,49.1
2000,6,30,139.4
2000,7,1,133.8
2000,7,2,71.1
2000,7,3,154.3
2000,7,4,112.0
2000,7,5,137.2
2000,7,6,89.6
2000,7,7,75.3
2000,7,8,46.3
2000,7,9,121.7
2000,7,10,93.1
2000,7,11,73.0
2000,7,12,150.9
2000,7,13,129.1
2000,7,14,122.2
2000,7,15,99.4
2000,7,16,86.7
2000,7,17,132.1
2000,7,18,129.7
2000,7,19,114.5
2000,7,20,115.8
2000,7,21,80.3
2000,7,22,136.2
2000,7,23,127.1
2000,7,24,94.1
2000,7,25,61.2
2000,7,26,139.0
2000,7,27,95.2
2000,7,28,116.8
2000,7,29,87.0
2000,7,30,72.8
2000,7,31,73.1
2000,8,1,77.2
2000,8,2,134.9
2000,8,3,149.2
2000,8,4,151.6
2000,8,5,145.1
2000,8,6,133.3
2000,8,7,144.7
2000,8,8,33.3
2000,8,9,92.2
2000,8,10,71.0
2000,8,11,134.0
2000,8,12,120.7
2000,8,13,96.7
2000,8,14,63.9
2000,8,15,50.7
2000,8,16,81.2
2000,8,17,110.7
2000,8,18,63.6
2000,8,19,115.8
2000,8,20,133.3
2000,8,21,113.8
2000,8,22,108.9
2000,8,23,132.4
2000,8,24,124.5
2000,8,25,115.7
2000,8,26,130.1
2000,8,27,95.3
2000,8,28,58.6
2000,8,29,37.9
2000,8,30,77.6
2000,8,31,54.5
2000,9,1,117.9
2000,9,2,16.2
2000,9,3,89.1
2000,9,4,105.6
2000,9,5,104.0
2000,9,6,115.3
2000,9,7,39.8
2000,9,8,79.5
2000,9,9,94.5
2000,9,10,118.6
2000,9,11,130.7
2000,9,12,129.6
2000,9,13,108.2
2000,9,14,113.8
2000,9,15,113.1
2000,9,16,114.8
2000,9,17,109.2
2000,9,18,85.7
2000,9,19,75.2
2000,9,20,50.9
2000,9,21,118.8
2000,9,22,114.7
2000,9,23,92.2
2000,9,24,111.5
2000,9,25,117.0
2000,9,26,89.0
2000,9,27,114.3
2000,9,28,99.2
2000,9,29,108.7
2000,9,30,108.6
2000,10,1,118.6
2000,10,2,113.4
2000,10,3,110.5
2000,10,4,103.1
2000,10,5,105.4
2000,10,6,102.1
2000,10,7,107.2
2000,10,8,91.8
2000,10,9,105.1
2000,10,10,99.5
2000,10,11,109.0
2000,10,12,95.5
2000,10,13,98.6
2000,10,14,103.0
2000,10,15,106.3
2000,10,16,105.1
2000,10,17,106.6
2000,10,18,105.1
2000,10,19,99.7
2000,10,20,88.5
2000,10,21,98.7
2000,10,22,87.4
2000,10,23,92.0
2000,10,24,95.1
2000,10,25,94.1
2000,10,26,82.3
2000,10,27,86.9
2000,10,28,96.1
2000,10,29,89.8
2000,10,30,87.4
2000,10,31,85.2
2000,11,1,88.7
2000,11,2,92.0
2000,11,3,95.7
2000,11,4,81.1
2000,11,5,82.5
2000,11,6,79.0
2000,11,7,82.3
2000,11,8,85.1
2000,11,9,84.5
2000,11,10,82.6
2000,11,11,79.6
2000,11,12,81.3
2000,11,13,80.9
2000,11,14,84.6
2000,11,15,79.1
2000,11,16,81.9
2000,11,17,83.2
2000,11,18,82.4
2000,11,19,71.9
2000,11,20,77.4
2000,11,21,76.6
2000,11,22,78.1
2000,11,23,76.1
2000,11,24,81.3
2000,11,25,79.6
2000,11,26,85.7
2000,11,27,85.8
2000,11,28,69.9
2000,11,29,85.7
2000,11,30,82.9
2000,12,1,80.0
2000,12,2,83.9
2000,12,3,83.0
2000,12,4,83.4
2000,12,5,80.7
2000,12,6,76.8
2000,12,7,75.5
2000,12,8,76.4
2000,12,9,75.9
2000,12,10,70.6
2000,12,11,75.0
2000,12,12,72.4
2000,12,13,72.9
2000,12,14,75.1
2000,12,15,71.1
2000,12,16,74.1
2000,12,17,69.2
2000,12,18,73.3
2000,12,19,72.6
2000,12,20,73.6
2000,12,21,70.5
2000,12,22,74.0
2000,12,23,75.7
2000,12,24,78.0
2000,12,25,77.9
2000,12,26,75.0
2000,12,27,72.3
2000,12,28,72.4
2000,12,29,70.2
2000,12,30,31.7
2000,12,31,22.6
2001,1,1,45.95
2001,1,2,23.16
2001,1,3,39.99
2001,1,4,28.73
2001,1,5,22.33
2001,1,6,38.16
2001,1,7,65.34
2001,1,8,56.52
2001,1,9,53.64
2001,1,10,44.66
2001,1,11,42.87
2001,1,12,48.82
2001,1,13,50.99
2001,1,14,71.12
2001,1,15,61.8
2001,1,16,50.6
2001,1,17,61.88
2001,1,18,71.61
2001,1,19,64.66
2001,1,20,70.66
2001,1,21,70.62
2001,1,22,66.59
2001,1,23,66.99
2001,1,24,75.02
2001,1,25,79.89
2001,1,26,80.51
2001,1,27,79.71
2001,1,28,82.73
2001,1,29,74.67
2001,1,30,61.44
2001,1,31,44.35
2001,2,1,84.63
2001,2,2,88.18
2001,2,3,85.86
2001,2,4,82.45
2001,2,5,82.67
2001,2,6,85.79
2001,2,7,89.73
2001,2,8,88.91
2001,2,9,91.26
2001,2,10,90.45
2001,2,11,90.78
2001,2,12,88.91
2001,2,13,85.74
2001,2,14,86.87
2001,2,15,46.29
2001,2,16,87.65
2001,2,17,90.3
2001,2,18,92.1
2001,2,19,94.52
2001,2,20,97.7
2001,2,21,93.74
2001,2,22,93.86
2001,2,23,91.48
2001,2,24,76.85
2001,2,25,82.77
2001,2,26,102.77
2001,2,27,96.53
2001,2,28,96.71
2001,3,1,105.49
2001,3,2,108.46
2001,3,3,104.34
2001,3,4,85.57
2001,3,5,98.04
2001,3,6,102.08
2001,3,7,95.82
2001,3,8,103.87
2001,3,9,106.39
2001,3,10,106.13
2001,3,11,108.95
2001,3,12,106.69
2001,3,13,104.19
2001,3,14,98.13
2001,3,15,111.69
2001,3,16,116.93
2001,3,17,120.89
2001,3,18,118.39
2001,3,19,116.57
2001,3,20,80.34
2001,3,21,95.96
2001,3,22,81.6
2001,3,23,121.19
2001,3,24,120.83
2001,3,25,119.84
2001,3,26,123.73
2001,3,27,123.17
2001,3,28,111.69
2001,3,29,109.55
2001,3,30,111.3
2001,3,31,116.86
2001,4,1,122.78
2001,4,2,124.31
2001,4,3,125.52
2001,4,4,129.38
2001,4,5,109.11
2001,4,6,122.06
2001,4,7,119.52
2001,4,8,126.42
2001,4,9,120.13
2001,4,10,121.23
2001,4,11,118.72
2001,4,12,105.16
2001,4,13,86.17
2001,4,14,107.24
2001,4,15,88.2
2001,4,16,105.1
2001,4,17,66.96
2001,4,18,115.15
2001,4,19,128.05
2001,4,20,131.71
2001,4,21,137.45
2001,4,22,139.27
2001,4,23,138.72
2001,4,24,129.42
2001,4,25,130.89
2001,4,26,127.62
2001,4,27,127.4
2001,4,28,132.82
2001,4,29,125.14
2001,4,30,131.24
2001,5,1,131.98
2001,5,2,133.95
2001,5,3,128.48
2001,5,4,133.42
2001,5,5,140.05
